open,open,high,low,close,previous,previous_ratio,volume
21/12/30,"1,991.58","2,000.77","1,980.19","1,992.33",-6.66,-0.3,"729,840,000"
21/12/29,"2,001.14","2,008.24","1,991.63","1,998.99",-6.03,-0.3,"852,580,000"
21/12/28,"1,995.13","2,005.05","1,991.33","2,005.02",27.12,1.4,"952,490,000"
21/12/27,"1,986.64","1,988.35","1,976.38","1,977.90",-8.88,-0.4,"777,480,000"
21/12/24,"1,993.29","1,996.20","1,985.15","1,986.78",-2.65,-0.1,"746,720,000"
21/12/23,"1,980.88","1,989.43","1,978.13","1,989.43",17.92,0.9,"813,500,000"
21/12/22,"1,976.82","1,979.55","1,966.43","1,971.51",1.72,0.1,"874,920,000"
21/12/21,"1,965.40","1,976.82","1,956.99","1,969.79",28.46,1.5,"1,015,660,000"
21/12/20,"1,967.28","1,970.26","1,940.27","1,941.33",-43.14,-2.2,"1,142,330,000"
21/12/17,"2,004.13","2,009.45","1,980.21","1,984.47",-28.61,-1.4,"1,440,020,000"
21/12/16,"2,006.55","2,014.43","1,999.73","2,013.08",28.98,1.5,"1,053,520,000"
21/12/15,"1,971.25","1,988.74","1,971.25","1,984.10",10.29,0.5,"990,230,000"
21/12/14,"1,976.67","1,985.20","1,966.82","1,973.81",-4.32,-0.2,"985,940,000"
21/12/13,"1,991.47","1,993.44","1,976.82","1,978.13",2.65,0.1,"955,790,000"
21/12/10,"1,986.57","1,993.27","1,973.06","1,975.48",-15.31,-0.8,"1,114,090,000"
21/12/09,"2,001.06","2,005.53","1,990.79","1,990.79",-11.45,-0.6,"984,720,000"
21/12/08,"2,006.18","2,008.64","1,994.51","2,002.24",12.39,0.6,"1,219,770,000"
21/12/07,"1,962.09","1,995.22","1,952.63","1,989.85",42.31,2.2,"1,291,110,000"
21/12/06,"1,961.38","1,963.24","1,941.89","1,947.54",-10.32,-0.5,"1,086,940,000"
21/12/03,"1,935.00","1,957.86","1,927.36","1,957.86",31.49,1.6,"1,233,330,000"
21/12/02,"1,924.34","1,939.91","1,921.44","1,926.37",-10.37,-0.5,"1,348,490,000"
21/12/01,"1,930.88","1,946.01","1,914.93","1,936.74",8.39,0.4,"1,441,190,000"
21/11/30,"1,969.75","1,978.44","1,928.35","1,928.35",-20.13,-1,"2,545,760,000"
21/11/29,"1,954.99","1,978.82","1,944.95","1,948.48",-36.5,-1.8,"1,530,620,000"
21/11/26,"2,015.55","2,015.77","1,976.72","1,984.98",-40.71,-2,"1,302,900,000"
21/11/25,"2,027.13","2,031.96","2,024.79","2,025.69",6.57,0.3,"959,840,000"
21/11/24,"2,039.46","2,047.62","2,015.23","2,019.12",-23.7,-1.2,"1,221,870,000"
21/11/22,"2,036.28","2,044.99","2,029.69","2,042.82",-1.71,-0.1,"1,065,380,000"
21/11/19,"2,034.87","2,046.12","2,033.49","2,044.53",9.01,0.4,"1,196,350,000"
21/11/18,"2,032.97","2,044.82","2,024.38","2,035.52",-2.82,-0.1,"1,220,400,000"
21/11/17,"2,055.57","2,055.80","2,037.61","2,038.34",-12.49,-0.6,"1,173,390,000"
21/11/16,"2,050.24","2,062.81","2,046.87","2,050.83",2.31,0.1,"1,190,590,000"
21/11/15,"2,052.72","2,057.89","2,045.25","2,048.52",7.92,0.4,"1,163,410,000"
21/11/12,"2,023.97","2,046.03","2,023.97","2,040.60",26.3,1.3,"1,321,450,000"
21/11/11,"2,006.60","2,019.42","2,004.89","2,014.30",6.34,0.3,"1,190,300,000"
21/11/10,"2,017.67","2,021.61","2,006.50","2,007.96",-10.81,-0.5,"1,153,290,000"
21/11/09,"2,040.85","2,048.76","2,018.32","2,018.77",-16.45,-0.8,"1,199,550,000"
21/11/08,"2,048.99","2,049.18","2,034.80","2,035.22",-6.2,-0.3,"1,231,790,000"
21/11/05,"2,053.32","2,053.32","2,033.33","2,041.42",-14.14,-0.7,"1,266,640,000"
21/11/04,"2,049.41","2,055.56","2,043.92","2,055.56",23.89,1.2,"1,482,770,000"
21/11/02,"2,036.20","2,041.79","2,028.27","2,031.67",-13.05,-0.6,"1,183,560,000"
21/11/01,"2,027.27","2,044.81","2,022.50","2,044.72",43.54,2.2,"1,285,900,000"
21/10/29,"1,999.88","2,005.23","1,979.93","2,001.18",1.52,0.1,"1,564,980,000"
21/10/28,"2,001.35","2,006.08","1,987.88","1,999.66",-14.15,-0.7,"2,212,790,000"
21/10/27,"2,016.71","2,020.43","2,005.35","2,013.81",-4.59,-0.2,"1,144,110,000"
21/10/26,"2,013.73","2,023.86","2,009.25","2,018.40",22.98,1.2,"1,141,960,000"
21/10/25,"1,989.45","2,004.07","1,989.07","1,995.42",-6.81,-0.3,"1,045,760,000"
21/10/22,"1,992.02","2,012.92","1,989.62","2,002.23",1.42,0.1,"1,051,240,000"
21/10/21,"2,022.97","2,025.90","2,000.67","2,000.81",-26.86,-1.3,"1,041,910,000"
21/10/20,"2,037.18","2,041.71","2,026.16","2,027.67",1.1,0.1,"1,117,800,000"
21/10/19,"2,023.20","2,029.40","2,018.10","2,026.57",7.34,0.4,"1,084,980,000"
21/10/18,"2,028.43","2,028.64","2,014.48","2,019.23",-4.7,-0.2,"1,084,980,000"
21/10/15,"2,005.45","2,024.22","2,001.89","2,023.93",36.96,1.9,"1,143,200,000"
21/10/14,"1,974.37","1,987.12","1,972.17","1,986.97",13.14,0.7,"1,152,660,000"
21/10/13,"1,978.18","1,988.18","1,971.96","1,973.83",-8.85,-0.4,"1,111,800,000"
21/10/12,"1,993.69","1,995.09","1,979.58","1,982.68",-13.9,-0.7,"1,134,930,000"
21/10/11,"1,963.37","1,996.58","1,960.57","1,996.58",34.73,1.8,"1,194,170,000"
21/10/08,"1,964.16","1,978.43","1,961.85","1,961.85",22.23,1.1,"1,356,770,000"
21/10/07,"1,947.07","1,958.83","1,937.33","1,939.62",-2.29,-0.1,"1,330,870,000"
21/10/06,"1,962.20","1,978.19","1,927.66","1,941.91",-5.84,-0.3,"1,673,820,000"
21/10/05,"1,954.33","1,958.36","1,928.45","1,947.75",-26.17,-1.3,"1,511,320,000"
21/10/04,"2,006.67","2,006.97","1,966.97","1,973.92",-12.39,-0.6,"1,324,330,000"
21/10/01,"2,010.40","2,020.57","1,982.20","1,986.31",-43.85,-2.2,"1,384,430,000"
21/09/30,"2,040.00","2,041.82","2,023.60","2,030.16",-8.13,-0.4,"1,551,250,000"
21/09/29,"2,040.91","2,044.06","2,019.80","2,038.29",-43.48,-2.1,"1,602,590,000"
21/09/28,"2,083.25","2,084.26","2,062.90","2,081.77",-5.97,-0.3,"1,506,770,000"
21/09/27,"2,097.34","2,105.37","2,086.31","2,087.74",-3.01,-0.1,"1,293,460,000"
21/09/24,"2,076.39","2,091.50","2,075.07","2,090.75",47.2,2.3,"1,425,370,000"
21/09/22,"2,057.78","2,061.00","2,043.55","2,043.55",-21,-1,"1,203,590,000"
21/09/21,"2,065.03","2,073.87","2,052.31","2,064.55",-35.62,-1.7,"1,319,880,000"
21/09/17,"2,090.31","2,102.93","2,085.57","2,100.17",10.01,0.5,"1,599,330,000"
21/09/16,"2,101.79","2,103.29","2,080.94","2,090.16",-6.23,-0.3,"1,261,500,000"
21/09/15,"2,101.38","2,103.57","2,088.92","2,096.39",-22.48,-1.1,"1,205,720,000"
21/09/14,"2,105.79","2,120.18","2,103.02","2,118.87",21.16,1,"1,339,010,000"
